,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.01552753448486328,0.0030987277947780397,0.0036539554595947264,0.00304863083123599,True,,1,2,10,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42}",0.918918918918919,0.8918918918918919,0.9459459459459459,0.8356164383561644,0.918918918918919,0.9022584228063681,0.03744960078336157,122
1,0.08919000625610352,0.015282518443706889,0.0019998550415039062,0.0039997100830078125,True,,1,2,50,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.821917808219178,0.918918918918919,0.9076268048870789,0.04564031487131131,69
2,0.16320533752441407,0.008591748286928479,0.004979610443115234,0.002521767162704403,True,,1,2,100,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.8918918918918919,0.9459459459459459,0.821917808219178,0.918918918918919,0.9049241021843762,0.04608974195973578,107
3,0.012791681289672851,0.00408403386625247,0.00440373420715332,0.00463697069501001,True,,1,5,10,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10, 'random_state': 42}",0.9594594594594594,0.8918918918918919,0.9594594594594594,0.821917808219178,0.9324324324324325,0.9130322102924842,0.05183839287007008,22
4,0.07795443534851074,0.004346893540143531,0.002000284194946289,0.004000568389892578,True,,1,5,50,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.8356164383561644,0.918918918918919,0.9103665309144763,0.040539171161568216,29
5,0.1519261360168457,0.0043135396874423425,0.009991216659545898,4.4386701333790046e-05,True,,1,5,100,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9594594594594594,0.8356164383561644,0.918918918918919,0.9130692336171788,0.04318522859029438,8
6,0.018039703369140625,0.0029893738806511167,0.0008024692535400391,0.0009828557325935682,True,,1,10,10,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 42}",0.9324324324324325,0.8918918918918919,0.9594594594594594,0.8356164383561644,0.9054054054054054,0.9049611255090706,0.04172392358287214,101
7,0.0724614143371582,0.005789170344674082,0.009273004531860352,0.00409752434802832,True,,1,10,50,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9324324324324325,0.8493150684931506,0.9054054054054054,0.907700851536468,0.03314747697024937,49
8,0.15680065155029296,0.0028336741451404092,0.007142162322998047,0.0006640939639877847,True,,1,10,100,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.8918918918918919,0.9324324324324325,0.8356164383561644,0.9054054054054054,0.902258422806368,0.03841247997493939,126
9,0.017520952224731445,0.0005693658587949527,0.0022566795349121095,0.0012135993501792303,True,,2,2,10,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.8356164383561644,0.918918918918919,0.9103665309144763,0.040539171161568216,29
10,0.08067207336425782,0.0018156694119740699,0.0035602092742919923,0.001825481862612596,True,,2,2,50,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42}",0.9324324324324325,0.9054054054054054,0.9324324324324325,0.8356164383561644,0.918918918918919,0.9049611255090708,0.036091684432810356,99
11,0.156207275390625,0.0020618337839181508,0.007536697387695313,0.001744763890832861,True,,2,2,100,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9459459459459459,0.8356164383561644,0.918918918918919,0.9103665309144763,0.040539171161568216,29
12,0.017651796340942383,0.004727952470572251,0.002179861068725586,0.0011658282458850528,True,,2,5,10,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10, 'random_state': 42}",0.9594594594594594,0.9054054054054054,0.9594594594594594,0.821917808219178,0.918918918918919,0.9130322102924844,0.05040959171990786,19
13,0.08061575889587402,0.005020040295290345,0.0035952091217041015,0.0018693273280679075,True,,2,5,50,42,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42}",0.9459459459459459,0.9054054054054054,0.9594594594594594,0.8356164383561644,0.918918918918919,0.9130692336171788,0.04318522859029438,8
