,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_fit_intercept,param_max_iter,param_multi_class,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.05534992218017578,0.08522471791794957,0.003667736053466797,0.004367096619445489,0.1,True,100,auto,42,lbfgs,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'lbfgs'}",0.9459459459459459,0.918918918918919,0.9459459459459459,0.821917808219178,0.9324324324324325,0.9130322102924844,0.046646509434340094,12
1,0.20824728012084961,0.40048052418634805,0.002200603485107422,0.0007512477948652687,0.1,True,100,auto,42,liblinear,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'liblinear'}",0.9459459459459459,0.918918918918919,0.9459459459459459,0.8356164383561644,0.9459459459459459,0.9184746390225842,0.04273101195744282,11
2,0.013800907135009765,0.006721380975088459,0.0017950057983398438,0.00039885048017148766,0.1,False,100,auto,42,lbfgs,"{'C': 0.1, 'fit_intercept': False, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'lbfgs'}",0.9864864864864865,0.918918918918919,0.972972972972973,0.8493150684931506,0.9594594594594594,0.9374305812661976,0.04952179349294621,1
3,0.0031955718994140627,0.0003970564177182416,0.0017911434173583985,0.00040860516921460536,0.1,False,100,auto,42,liblinear,"{'C': 0.1, 'fit_intercept': False, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'liblinear'}",0.9864864864864865,0.918918918918919,0.972972972972973,0.8493150684931506,0.9594594594594594,0.9374305812661976,0.04952179349294621,1
4,0.03068513870239258,0.01755724952048146,0.0015902042388916016,0.0004845833872165648,1,True,100,auto,42,lbfgs,"{'C': 1, 'fit_intercept': True, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'lbfgs'}",0.9459459459459459,0.918918918918919,0.9594594594594594,0.8356164383561644,0.9324324324324325,0.9184746390225843,0.0435773496428946,10
5,0.003988027572631836,1.587158766549701e-05,0.0019959926605224608,1.3351440429687501e-06,1,True,100,auto,42,liblinear,"{'C': 1, 'fit_intercept': True, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'liblinear'}",0.9459459459459459,0.918918918918919,0.9594594594594594,0.8356164383561644,0.9459459459459459,0.921177341725287,0.044762164172892686,7
6,0.023635292053222658,0.017469518619278875,0.002004241943359375,1.1993757939274713e-05,1,False,100,auto,42,lbfgs,"{'C': 1, 'fit_intercept': False, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'lbfgs'}",0.9594594594594594,0.8918918918918919,0.972972972972973,0.8493150684931506,0.9459459459459459,0.9239170677526841,0.046359648622713884,3
7,0.00390477180480957,0.0005033595084832452,0.001790761947631836,0.00039636484657789233,1,False,100,auto,42,liblinear,"{'C': 1, 'fit_intercept': False, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'liblinear'}",0.9594594594594594,0.8918918918918919,0.972972972972973,0.8493150684931506,0.9459459459459459,0.9239170677526841,0.046359648622713884,3
8,0.030305004119873045,0.0025958170717669156,0.0016080856323242188,0.0004996246498524662,10,True,100,auto,42,lbfgs,"{'C': 10, 'fit_intercept': True, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'lbfgs'}",0.9459459459459459,0.9054054054054054,0.972972972972973,0.8356164383561644,0.9459459459459459,0.921177341725287,0.04791487678590919,7
9,0.004980659484863282,1.1481383282295222e-05,0.0018004417419433595,0.0004028862757266555,10,True,100,auto,42,liblinear,"{'C': 10, 'fit_intercept': True, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'liblinear'}",0.9459459459459459,0.9054054054054054,0.972972972972973,0.8356164383561644,0.9459459459459459,0.921177341725287,0.04791487678590919,7
10,0.03043837547302246,0.005586748822218803,0.005000638961791992,0.006507489813527454,10,False,100,auto,42,lbfgs,"{'C': 10, 'fit_intercept': False, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'lbfgs'}",0.9594594594594594,0.8918918918918919,0.972972972972973,0.8493150684931506,0.9459459459459459,0.9239170677526841,0.046359648622713884,3
11,0.004783725738525391,0.0004009297640085561,0.0015973091125488282,0.0004902997614466694,10,False,100,auto,42,liblinear,"{'C': 10, 'fit_intercept': False, 'max_iter': 100, 'multi_class': 'auto', 'random_state': 42, 'solver': 'liblinear'}",0.9594594594594594,0.8918918918918919,0.972972972972973,0.8493150684931506,0.9459459459459459,0.9239170677526841,0.046359648622713884,3
